Nome	Ind	Bacia	BD	HL	CW	TL	AbL	PL	CPD	CPL	PdL	HD	SNL	OD	IW	AdCD	AnCD	PAdD	DL	MR
PjumbPIA15	24	PIA	4.511199643	10.02937797	8.03022936	5.479379647	6.814541843	4.894593491	3.179618516	9.110720761	12.11359328	4.54851053	5.590123057	1.644411444	2.406781777	3.870151605	5.010640383	21.4255704	7.485999292	1.286753125
PjumbPIA16	25	PIA	4.412704511	9.337323699	7.694478233	5.23140887	6.934982913	5.218894299	2.763419131	8.716147224	12.11512656	4.758320227	5.01410696	1.732443002	2.19205069	3.467761734	4.690626734	21.88684449	6.817781609	1.203397086
PjumbPIA17	26	PIA	4.905351111	9.268071322	7.488493461	5.051579239	5.802203949	5.386406489	2.904806884	8.87502079	11.34452136	4.492924968	4.688932491	1.670938264	2.321458687	3.827142646	5.237280427	20.70571629	7.156946211	1.353203058
PjumbPIA18	27	PIA	4.044098948	9.45152227	7.38678116	5.25306679	6.126264002	5.172782248	2.859172115	9.913044577	11.29664829	4.031327745	5.009953171	1.454934429	2.155674732	3.601768047	5.108360734	21.14095426	7.08923317	1.330293026
PjumbPIA19	28	PIA	3.963682413	9.611508388	7.804899812	5.650081261	6.645124037	5.222030116	2.910712682	9.365390814	11.73363089	3.801111091	5.119074061	1.658581463	2.309819363	3.809537652	4.632259626	21.69095327	7.150479192	1.369925741
PjumbPIA20	29	PIA	4.553721814	9.533246186	7.477872359	6.426655456	6.501956982	5.183340328	2.810932102	8.867948728	12.14657717	4.277551324	4.561581486	1.807927863	2.195680033	3.731027093	4.973965206	21.48573162	6.967686157	1.246610234
PjumbPBN1	30	PBN	5.616703265	10.26336356	7.923337064	6.092152927	6.554955613	5.760759295	2.963741672	11.33464019	12.75411127	4.968793822	5.216267334	1.633805001	2.340535257	3.161756871	5.184939203	23.17127701	7.611336415	1.160183649
PjumbPBN2	31	PBN	6.305572036	10.87769523	8.104038878	6.58067349	6.851880117	5.925172387	3.339113622	10.82934748	13.5975354	5.350228447	5.501204879	1.658425539	2.630306628	3.653516704	5.666406512	23.86817965	8.394649888	0.908976926
PjumbPBN3	32	PBN	5.64813135	10.14319631	7.75965577	6.858479054	7.698058378	6.872877263	2.882040115	9.751179322	13.33597255	4.790089873	5.030180683	1.768422245	2.582198669	3.188905105	5.530632257	24.08822185	7.44315858	1.064466262
PjumbPBN4	33	PBN	4.69602633	10.11594605	7.670789575	6.41508632	6.918379943	6.314910149	2.786177901	10.01999134	13.52222436	4.712925571	5.172091042	1.889178335	2.4201279	3.077411342	4.682255831	23.95831878	7.118595924	1.118599072
PjumbPBN5	34	PBN	4.74764065	10.0089872	7.487840657	6.877265417	7.041838797	5.959854263	2.917259201	10.03372458	12.90387428	4.597892966	5.019357825	1.73400577	2.508437651	3.425002052	4.916462916	23.73216164	8.093443576	1.294477037
PjumbPBN6	35	PBN	5.842113382	10.74843306	8.550441237	5.607078176	6.856301428	6.326871714	3.013492292	10.54888636	12.86158911	4.904638311	5.262425711	1.705791901	2.570305453	3.567719711	5.427805994	24.58139312	7.940742828	1.009680916
PjumbPBN7	36	PBN	5.019186061	10.33174414	8.044739751	5.929886938	7.211591519	5.646481364	2.915935355	10.27747729	13.10492745	4.83645771	5.352897206	1.74991077	2.537013436	2.655336682	5.297468695	22.70824735	6.587054684	1.210636616
PjumbPBN8	37	PBN	6.171912379	10.52089705	8.688656852	5.654440447	7.033324168	6.555696724	3.064172481	10.61217842	13.92132732	5.364595115	5.337746214	1.426917617	2.573843731	3.675677014	5.213285348	24.26277031	7.397397833	1.138589899
