ID	Names	row.names	BD	HL	CW	TL	AbL	PL	CPD	CPL	PdL	HD	SNL	OD	IW	AdCD	AnCD	PAdD	DL	MR
65	PaffcPBN	Paffcear5	-0.309942594	-0.710678717	-0.090460129	0.096342168	-0.289267023	0.002266398	-0.2553478	-0.11407477	-0.171337245	-0.20717219	-0.50559254	0.25081666	-0.006667497	-0.117579818	1.31912515	-0.33228527	0.2958529	0.20547547
66	PaffcPBN	Paffcear6	-0.122140858	-1.017698349	-0.278025033	-0.217073347	-0.616772803	0.00197453	-0.522173	0.13900812	-0.190824799	-0.10383334	-0.473331521	0.27984488	0.178862647	-0.632199703	0.0274212	-0.2712038	-0.53083738	-0.308946312
67	PaffcPBN	Paffcear7	0.000886039	-0.68652962	0.081612079	0.09176676	-0.453334067	-0.219358549	-0.5760966	-0.09283212	-0.132316498	-0.1011463	0.169237268	-0.0662608	0.238214352	0.465789286	-0.27749902	-0.22429508	-0.317049973	0.658755075
68	PaffcPBN	Paffcear8	-0.161277544	-0.764044696	0.293276732	0.01984133	-0.714945999	0.874075506	-0.4482697	-0.2125506	0.084191601	-0.19149782	0.253204304	0.17191945	0.028016624	0.554723596	-0.86216502	-0.20259947	-0.547463116	1.281669744
69	PaffcPBN	Paffcear9	-0.234296453	-0.366465951	0.229997676	0.298117704	-0.761597901	0.353480646	-0.4641675	-0.13426231	0.008432022	-0.23840896	-0.176242891	-0.48121545	0.131022481	0.81513125	-0.28974967	-0.17363777	0.247736064	-0.232633519
70	PaffcPBN	Paffcear10	-0.38721943	-0.919030779	0.047941286	-0.210484758	-0.719658312	0.246657033	-0.6149817	0.39061388	-0.157326287	-0.20862766	-0.435988287	0.16261554	0.29801456	0.244352846	-0.32609778	-0.46500074	-0.52389369	0.672086828
71	PaffcPBN	Paffcear11	-0.807576426	-0.374001527	0.039885085	-0.199412268	-0.340317085	0.504084429	-0.614552	0.15434222	-0.307293743	-0.43265913	-0.315230432	0.09637165	0.215938775	1.381712755	-0.36392673	-0.32792047	-0.517243395	0.304314329
72	PaffcPBN	Paffcear12	-0.362668407	-0.750604049	-0.044532893	-0.187333188	-1.068605118	0.121251169	-0.6098257	0.11009843	-0.31382002	-0.33738138	-0.389585451	-0.03834905	-0.277263435	0.495167586	-0.29540382	-0.4019166	-0.002530164	0.16869822
73	PaffcPBN	Paffcear13	-0.480622029	-0.723017672	-0.064501257	0.249160828	-0.511845292	-0.626611415	-0.3511642	-0.04246877	-0.11775788	0.01585163	0.514054529	0.24672294	0.010674564	-1.111645568	-0.21166856	-0.0694732	0.009988037	-0.434448677
74	PaffcPBN	Paffcear14	-0.473012118	-0.934807014	-0.305705316	-0.294397758	-0.431107656	-0.533116431	-0.3157164	0.24064925	-0.310351509	-0.09084601	-0.19612982	0.60622625	-0.16618455	-1.456790633	-0.49518378	-0.20378054	0.647144925	-1.090462872
75	PaffcPBN	Paffcear15	-0.074578914	-0.941373101	0.007315995	-0.395880329	0.125023862	0.18604582	-0.2718901	-0.24392219	0.045901067	-0.11178248	-0.25545916	0.94674958	0.115175426	0.622673406	0.96291372	-0.10932122	0.590226228	0.202717176
76	PaffcPBN	Paffcear16	-0.148684953	-1.002450926	-0.145063275	-0.336857554	-0.157636402	0.062585742	-0.261578	-0.01468452	-0.158467244	-0.39145794	-0.508354614	0.45401419	-0.064225196	-0.121576866	-0.42881483	-0.20218867	-0.245852703	-0.662467627
77	PaffcPBN	Paffcear17	-0.117158178	-0.889505424	-0.214263983	-0.753311279	0.102640373	-0.34904514	-0.3210873	0.27821075	-0.193380544	-0.3526079	-0.539952735	0.86040924	-0.603772567	-0.408165182	0.05596119	-0.04957486	0.079522733	-0.353079012
78	PaffcPBN	Paffcear18	0.034043509	-0.881793577	-0.11125477	-0.871265322	-0.017680695	-0.172075966	-0.5354927	-0.05562233	-0.211864056	-0.28991044	-0.622041561	0.9422837	-0.18651662	0.271732623	0.10563694	-0.33924326	0.280791939	-0.542022133
79	PaffcPBN	Paffcear19	-0.440035837	-0.608309461	-0.01203266	-0.331916112	-0.439903974	-0.21400764	-0.4669603	-0.03367628	-0.264895762	-0.26080091	-0.117797415	-0.19204974	-0.055554166	0.100658983	0.71009246	-0.24724877	0.099864811	-0.435368109
80	PaffcPBN	Paffcear20	-0.479353711	-0.560187538	-0.104093702	-0.479518806	-0.125828287	0.011703456	-0.7163839	0.22025069	-0.390264174	-0.27613939	-0.086862191	0.24039627	-0.613041599	0.457795191	0.27889624	-0.41837445	-0.934744969	-0.140230679
